一,1,one,,2
二,2,two,"one, one",9
三,3,three,"one, two",14
四,4,four,"mouth, human legs",47
五,5,five,,31
六,6,six,"top hat, animal legs",93
七,7,seven,,115
八,8,eight,,92
九,9,nine,,55
十,10,ten,,8
口,11,mouth,,284
日,12,day,,1
月,13,month,,23
田,14,rice field,,90
目,15,eye,,76
古,16,old,"ten, mouth",509
吾,17,I,"five, mouth",1828
冒,18,risk,"sun, eye",1317
朋,19,companion,"flesh, flesh",2039
明,20,bright,"sun, moon",67
唱,21,chant,"mouth, tongue wagging in the mouth, tongue wagging in the mouth",1123
晶,22,sparkle,"sun, sun, sun",1613
品,23,goods,"mouth, mouth, mouth",225
呂,24,spine,,2055
昌,25,prosperous,"sun, sun",1372
早,26,early,"sun, needle",402
旭,27,rising sun,"nine, sun",1417
世,28,generation,"twenty, fishhook",135
胃,29,stomach,"brain, flesh",1647
旦,30,nightbreak,"sun, floor",
胆,31,gall bladder,"part of the body, nightbreak",1449
亘,32,span,"ceiling, sun, floor",1728
凹,33,concave,,2206
凸,34,convex,,2143
旧,35,olden times,"walking stick, day",549
自,36,oneself,"drop, eye",19
白,37,white,"drop, sun",483
百,38,hundred,"one, white",163
中,39,in,"walking stick, mouth",11
千,40,thousand,"eye-dropper, ten",195
舌,41,tongue,"thousand, mouth",1830
升,42,measuring box,"thousand, needle",2077
昇,43,rise up,"sun, measuring box",826
丸,44,round,"nine, drop",542
寸,45,measurement,"drop, ten",1669
専,46,specialty,"ten, rice field, glued to",506
博,47,Dr.,"needle, drop, specialty",794
占,48,fortune-telling,"divining rod, mouth",694
上,49,above,"magic wand, floor",35
下,50,below,"ceiling, magic wand",97
卓,51,eminent,"magic wand, sunflower",1348
朝,52,morning,"mist, moon",248
只,53,only,"mouth, animal legs",2288
貝,54,shellfish,"eye, animal legs",1787
貞,55,upright,"magic wand, shellfish",1389
員,56,employee,"mouth, clam",54
見,57,see,"eye, human legs",22
児,58,newborn babe,"olden times, human legs",679
元,59,beginning,"two, human legs",192
頁,60,page,"one, drop of, oyster",
頑,61,stubborn,"beginning, head",1247
凡,62,mediocre,"drop, wind",1730
負,63,defeat,"bound up, oyster",443
万,64,ten thousand,"one, bound up",375
句,65,phrase,"bound up, mouth",1244
肌,66,texture,"part of the body, wind",1559
旬,67,decameron,"bound up, day",1162
勺,68,ladle,"bound up, drop",
的,69,bull's eye,"white bird, ladle",105
首,70,neck,"horns, nose",98
乙,71,fishguts,,1841
乱,72,riot,"tongue, fishhook",755
直,73,straightaway,"ten, eye, fishhook",246
具,74,tool,"eye, tool",629
真,75,TRUE,"ten, eye, tool",279
工,76,craft,,299
左,77,left,"by one's side, craft",630
右,78,right,"by one's side, mouth",602
有,79,possess,"by one's side, meat",282
賄,80,bribe,"money, possess",1282
貢,81,tribute,"craft, money",956
項,82,paragraph,"craft, head",884
刀,83,sword,,1794
刃,84,blade,"dagger, drop of",1763
切,85,cut,"diced, dagger",324
召,86,seduce,"dagger, mouth",1540
昭,87,shining,"sun, seduce",697
則,88,rule,"clam, saber",753
副,89,vice-,"wealth, saber",360
別,90,separate,"mouth, tied up, saber",214
丁,91,street,,1312
町,92,village,"rice field, street-sign",292
可,93,can,"spike, mouth",314
頂,94,place on the head,"nail, head",1350
子,95,child,,72
孔,96,cavity,"child, hook",2052
了,97,complete,,792
女,98,woman,,151
好,99,fond,"woman, child",423
如,100,likeness,"woman, mouth",1704
母,101,mama,,570
貫,102,pierce,"mama, oyster",1156
兄,103,elder brother,"mouth, human legs",1219
克,104,overcome,"needle, teenager",1333
小,105,little,"drop, drop, drop",114
少,106,few,"little, drop",287
大,107,large,,7
多,108,many,"evening, evening",139
夕,109,evening,,924
汐,110,eventide,"water, evening",2314
外,111,outside,"evening, magic wand",81
名,112,name,"evening, mouth",177
石,113,stone,"cliff, mouth",342
肖,114,resemblance,"small, flesh",1889
硝,115,nitrate,"rock, spark",2154
砕,116,smash,"rock, nine, ten",1579
砂,117,sand,"stone, few",1146
削,118,plane,"spark, saber",814
光,119,ray,"small, human legs",527
太,120,plump,"large, drop",552
器,121,utensil,"mouth, mouth, St Bernard dog, mouth, mouth",525
臭,122,stinking,"nose, St Bernard dog",1760
妙,123,exquisite,"woman, few",1122
省,124,focus,"few, eye",548
厚,125,thick,"cliff, sun, child",768
奇,126,strange,"St Bernard dog, nail, mouth",1367
川,127,stream,,181
州,128,state,"drop of, stream",386
順,129,obey,"stream, head",779
水,130,water,,223
氷,131,icicle,"drop, water",1450
永,132,eternity,"drop of, water",846
泉,133,spring,"white, water",1086
原,134,meadow,"cliff, spring",172
願,135,petition,"meadow, head",894
泳,136,swim,"water, eternity",1223
沼,137,marsh,"water, seduce",1467
沖,138,open sea,"water, in",929
江,139,creek,"water, craft",704
汁,140,soup,"water, ten",1843
潮,141,tide,"water, morning",1231
源,142,source,"water, meadow",738
活,143,lively,"water, tongue",171
消,144,extinguish,"water, spark",345
況,145,but of course,"water, teenager",490
